coenti;ramos;UF; premio_dir ;Filtro
5312;1528;SP;560.790,20;S
5312;1535;SP;1.218.406,40;S
5312;1537;SP;36.017,00;S
5312;1597;RJ;66.445,90;S
5321;118;SP;1.473.863,60;S
5321;141;SP;118.100,30;S
5321;167;RJ;12.745,10;S
5321;171;SP;15.369.676,50;S
5321;195;SP;106.391,40;S
5321;351;SP;177.495,40;S
5321;748;SP;6.232.711,20;S
5321;929;SP;56.304,60;S
5321;977;SP;28.362.813,00;S
5321;982;SP;39.176.132,00;S
5321;984;SP;2.983.079,50;S
5321;990;SP;1.041.764,20;S
5321;993;SP;16.361.020,10;S
5321;1061;MG;17.775.323,50;S
5321;1065;MG;6.356.400,30;S
5321;1369;SP;987.024,70;S
5321;1381;SP;5.294.107,20;S
5321;1390;SP;3.896.883,30;S
5321;1391;SP;495.646,10;S
5321;1392;SP;1.476.269,10;S
5355;114;RJ;55.459,80;S
5355;520;SP;843.592,90;S
5355;531;SP;81.813.926,20;S
5355;542;SP;5.149.516,50;S
5355;553;SP;24.608.615,60;S
5355;1381;SP;55.702,80;S
5436;745;SP;80.867,40;S
5436;776;SP;1.789.390,10;S
5444;171;SP;25.005,60;S
5444;982;SP;331.040,40;S
5444;993;SP;621.210,10;S
5444;1329;SP;16.298,00;S
5444;1377;SP;50.933,00;S
5444;1381;SP;1.056.026,10;S
5444;1387;SP;140.804,80;S
5444;1390;SP;207.965,50;S
5444;1391;SP;3.301.016,00;S
5495;114;SP;708.594,40;S
5495;115;SP;9.057.095,20;S
5495;116;MG;97.266,30;S
5495;118;SP;1.212.933,90;S
5495;141;SP;897.592,20;S
5495;167;SP;9.386.781,70;S
5495;171;SP;13.527.775,90;S
5495;195;SP;96.085.180,00;S
5495;196;SP;36.536.730,90;S
5495;310;SP;3.886.274,40;S
5495;351;SP;16.479.628,00;S
5495;378;SP;2.251.569,10;S
5495;520;MG;266.755,80;S
5495;531;MG;11.185.223,00;S
5495;542;MG;1.366.913,40;S
5495;553;SP;3.406.251,40;S
5495;621;MG;2.428.878,30;S
5495;622;SP;1.277.380,80;S
5495;654;MG;155.797,50;S
5495;775;SP;270.541,20;S
5495;776;SP;62.283,50;S
5495;929;SP;907.508,80;S
5495;977;SP;10.941.600,10;S
5495;980;SP;764.916,00;S
5495;982;SP;4.289.269,50;S
5495;984;RJ;12.269,90;S
5495;990;SP;425.778,10;S
5495;993;SP;13.970.636,00;S
5495;1061;SP;402.236,90;S
5495;1130;SP;70.871,60;S
5495;1162;SP;468.052,70;S
5495;1369;SP;873.987,00;S
5495;1377;SP;4.852.686,00;S
5495;1390;PR;539.420,80;S
5495;1601;SP;594.612,80;S
5495;1602;SP;1.476.097,10;S
5495;1734;SP;36.581,50;S
5495;2293;SC;122.920,40;S
5631;114;SP;4.708.890,20;S
5631;118;SP;8.813.451,20;S
5631;167;SP;297.190,90;S
5631;171;DF;73.055,00;S
5631;351;SP;414.577,70;S
5631;520;RJ;48.838,60;S
5631;531;SP;5.173.709,50;S
5631;542;SP;641.748,90;S
5631;553;SP;895.609,40;S
5631;929;SP;1.302.573,60;S
5631;977;DF;91.282.041,20;S
5631;982;SP;207.492,20;S
5631;984;SP;1.472.888,60;S
5631;987;MG;31.889,50;S
5631;993;SP;20.088.465,10;S
5631;1061;SP;28.761.576,40;S
5631;1065;SP;11.132.305,60;S
5631;1068;DF;7.442.890,10;S
5631;1198;GO;166.993,40;S
5631;1381;SP;124.588,60;S
5631;1601;SP;267.548,40;S
5665;929;SP;196.923,50;S
5665;977;DF;218.229,00;S
5665;980;SP;82.461,40;S
5665;982;SP;2.669.037,00;S
5665;984;SP;120.737,70;S
5665;993;DF;34.651.275,60;S
5665;1369;SP;20.020,80;S
5665;1381;SP;499.986,90;S
5665;1391;SP;4.402.192,60;S
5690;114;RJ;63.516,70;S
5690;118;RJ;2.226.163,60;S
5690;141;RJ;92.535,50;S
5690;171;PE;47.630,80;S
5690;313;PE;17.500,00;S
5690;351;RJ;84.264,10;S
5690;378;RJ;598.341,20;S
5690;775;PE;17.859,80;S
5690;993;RJ;25.390,40;S
5690;1061;RJ;5.536.921,60;S
5690;1065;RJ;1.718.405,90;S
5690;1068;RJ;314.801,30;S
5690;1101;RJ;286.865,90;S
5690;1162;RJ;16.897,50;S
5690;1391;PE;111.479,70;S
5690;1528;RJ;23.422,20;S
5690;1535;RJ;369.098,10;S
5690;1537;RJ;38.977,10;S
5720;114;SP;3.770.907,20;S
5720;116;SP;2.080.058,00;S
5720;118;SP;8.020.333,90;S
5720;141;SP;448.743,80;S
5720;167;SP;1.017.899,40;S
5720;171;SP;1.525.829,10;S
5720;196;SC;11.759.393,20;S
5720;234;RJ;10.310.387,20;S
5720;272;RJ;19.433.115,80;S
5720;310;RS;78.395,60;S
